"ORDER_SEQID","C_CODE","SHORT_NAME","PO_NO_TYPE","PO_NO","C_PART_NO","PART_NO","PN_DESC","C_PRICE","IS_TAX","TAX_RATE","SPEC_DESC","COMM_DESC","AMOUNT","MONEY","DELIVERY_AMOUNT","COMM_DELIVERY_AMOUNT","SELF_DELIVERY_AMOUNT","LOCK_AMOUNT","SELF_LOCK_AMOUNT","COMM_LOCK_AMOUNT","ORG_DELIVERY_DATE","PRE_DELIVERY_DATE","VER_DELIVERY_DATE","PERIOD","RLT_ORDER_PO_NO","VENDOR_CODE","STATE","ACTIVE_STATE","RLT_SEND_PO_NO","DELIVERY_HOUSE_TYPE","SETTLEMENT_TYPE","STAFF_ID","STAFF_NAME","SALES_ID","SALES","CONTACT_FEE","C_PRICE_TAX","ORDERAMOUNT"
1,"GC0049","美赛达","0","CG-10-04-13-039","10522UH01","GCRH4D28-220NC","4D28 22UH +/-25%",0.51,"0",0,"送货单请注明安防用",NULL,44000,22440,0,0,0,0,0,0,"2010-08-09",NULL,NULL,"201008","CKCK","GV0005","20","ACTIVE",NULL,"1","1","8","谢冰冰","6","蒋忠旭",0,0,44000
2,"GC0049","美赛达","0","CG-10-04-13-039","10510UH01","GCRH5D18-100NC","5D18 10UH +/-25%",0.51,"0",0,"",NULL,8000,4080,0,0,0,0,0,0,"2010-08-09",NULL,NULL,"201008","CKCK","GV0005","20","ACTIVE",NULL,"1","1","8","谢冰冰","6","蒋忠旭",0,0,8000
3,"GC0130","济南玉兔","0","GH20100245","470UH 7032","GSLF7032T-471M","7032 470UH +/-20%",0.8,"0",0,"",NULL,1000,800,0,0,0,0,0,0,"2010-08-09",NULL,NULL,"201008","CKCQ","GV0004","20","ACTIVE",NULL,"1","3","8","谢冰冰","2","曾跃群",0,0,1000
4,"GC0065","兴日洋","0","W201005065","L5D284U702","GCRH5D28-4R7NC","5D28 4.7UH +/-25%",0.5,"0",0,"",NULL,1000,500,0,0,0,0,0,0,"2010-05-13",NULL,NULL,"201008","CKKC","GV0005","20","ACTIVE",NULL,"1","1","8","谢冰冰","6","蒋忠旭",0,0,1000
5,"GC0049","美赛达","0","CG-10-04-13-039","10510UH08","GCRH8D28-100M","8D28 10UH +/-20%",0.75,"0",0,"",NULL,12000,9000,0,0,0,0,0,0,"2010-08-09",NULL,NULL,"201008","KCCK","GV0005","20","ACTIVE",NULL,"1","1","8","谢冰冰","6","蒋忠旭",0,0,12000
6,"GC0049","美赛达","0","CG-10-04-13-039","105330U01","GCRH104R-331NC","104R 330UH +/-25%",0.68,"0",0,"",NULL,12000,8160,0,0,0,0,0,0,"2010-08-09",NULL,NULL,"201008","KCCK","GV0005","20","ACTIVE",NULL,"1","1","8","谢冰冰","6","蒋忠旭",0,0,12000
7,"GC0112","中海达","0","CGDD0330","011202041","GCRH8D28-100M","8D28 10UH +/-20%",1.13,"1",0.17,"",NULL,1000,1130,0,0,0,0,0,0,"2010-08-16",NULL,NULL,"201008","KCCK","GV0005","20","ACTIVE",NULL,"1","3","8","谢冰冰","8","谢冰冰",0,0.17,1000
8,"GC0107","泽昶","0","CZ20100715001","GCRH127-330N","GCRH127-330NC","127 33UH +/-25%",0.9,"1",0.17,"",NULL,1000,900,0,0,0,0,0,0,"2010-07-30",NULL,NULL,"201008","KCCK","GV0005","20","ACTIVE",NULL,"1","1","8","谢冰冰","8","谢冰冰",0,0.17,1000
9,"GC0016","飞歌汽车音响","0","FA-PO-20100521051","DZ03V0025R0","GCRH5D28-100M","5D28 10UH",0.65,"1",0.17,"",NULL,34000,22100,0,0,0,0,0,0,"2010-11-02",NULL,NULL,"201008","KCCK","GV0005","20","ACTIVE",NULL,"1","1","8","谢冰冰","5","周石富 ",0,0.17,34000
10,"GC0016","飞歌汽车音响","0","FA-PO-20100521051","DZ03V0062R0","GCRH2D18A/HP-2R2NC","2D18A/HP 2.2UH +/-25% 高度2MM DCR小于125M欧 可耐电流0.63A",0.62,"1",0.17,"",NULL,30000,18600,0,0,0,0,0,0,"2010-11-02",NULL,NULL,"201008","KCCK","GV0005","20","ACTIVE",NULL,"1","1","8","谢冰冰","5","周石富 ",0,0.17,30000
11,"GC0016","飞歌汽车音响","0","FA-PO-20100709003","DZ03V0022R0","GCRH74-102M","74 1000UH +/-20%",0.74,"1",0.17,"",NULL,14000,10360,0,0,0,0,0,0,"2010-09-05",NULL,NULL,"201008","KCCK","GV0005","20","ACTIVE",NULL,"1","1","8","谢冰冰","5","周石富 ",0,0.17,14000
12,"GC0016","飞歌汽车音响","0","FA-PO-20100709003","DZ03V0026R0","GCRH5D28-101NC","5D28 100UH +/-25%",0.65,"1",0.17,"",NULL,6000,3900,0,0,0,0,0,0,"2010-09-05",NULL,NULL,"201008","KCCK","GV0005","20","ACTIVE",NULL,"1","1","8","谢冰冰","5","周石富 ",0,0.17,6000
13,"GC0016","飞歌汽车音响","0","FA-PO-20100709003","DZ03V0033R0","GCRH5D28-470NC","5D28 47UH +/-25%",0.65,"1",0.17,"",NULL,6000,3900,0,0,0,0,0,0,"2010-09-05",NULL,NULL,"201008","KCCK","GV0005","20","ACTIVE",NULL,"1","1","8","谢冰冰","5","周石富 ",0,0.17,6000
14,"GC0016","飞歌汽车音响","0","FA-PO-A2010063002","DZ03V0009R0","GCRH125-470M","125 47UH +/-20%",0.75,"1",0.17,"",NULL,12000,9000,0,0,0,0,0,0,"2010-08-18",NULL,NULL,"201008","KCCK","GV0005","20","ACTIVE",NULL,"1","1","8","谢冰冰","5","周石富 ",0,0.17,12000
