"ORDER_SEQID","C_CODE","SHORT_NAME","PO_NO_TYPE","PO_NO","C_PART_NO","PART_NO","PN_DESC","C_PRICE","IS_TAX","TAX_RATE","SPEC_DESC","COMM_DESC","AMOUNT","MONEY","DELIVERY_AMOUNT","PERIOD","ORG_DELIVERY_DATE","VER_DELIVERY_DATE","RLT_ORDER_PO_NO","STATE","ACTIVE_STATE","RLT_REC_PO_NO","STAFF_ID","STAFF_NAME","SETTLEMENT_TYPE","CUST_C_CODE","C_PRICE_TAX","HASTEN_REMINDER"
1,"GV0005","今凯","0","CKCK","CKRH4D28-220NC","GCRH4D28-220NC","4D28 22UH 500MA +/-25%",0.45,"1",0.17,"送货单请注明安防用",NULL,44000,19800,0,"201008","2010-08-10",NULL,"CG-10-04-13-039","04","ACTIVE",NULL,"8","谢冰冰","1","GC0049",0.17,NULL
2,"GV0005","今凯","0","CKCK","CKRH5D18-100NC","GCRH5D18-100NC","5D18 10UH +/-25%",0.45,"1",0.17,"",NULL,8000,3600,0,"201008","2010-08-10",NULL,"CG-10-04-13-039","04","ACTIVE",NULL,"8","谢冰冰","1","GC0049",0.17,NULL
3,"GV0004","成启","0","CKCQ","SLF7032T-471M","GSLF7032T-471M","7032 470UH +/-20%",0,"0",0,"",NULL,1000,0,0,"201008","2010-08-10",NULL,"GH20100245","04","ACTIVE",NULL,"8","谢冰冰","1","GC0130",0,NULL
4,"GV0005","今凯","0","CKKC","CKRH5D28-4R7NC","GCRH5D28-4R7NC","5D28 4.7UH +/-25%",0.45,"1",0.17,"",NULL,1000,450,0,"201008","2010-08-10",NULL,"W201005065","04","ACTIVE",NULL,"8","谢冰冰","1","GC0065",0.17,NULL
5,"GV0005","今凯","0","KCCK","CKRH8D28-100M","GCRH8D28-100M","8D28 10UH +/-20%",0.68,"1",0.17,"",NULL,12000,8160,0,"201008","2010-08-10",NULL,"CG-10-04-13-039","04","ACTIVE",NULL,"8","谢冰冰","1","GC0049",0.17,NULL
6,"GV0005","今凯","0","KCCK","CKRH104R-331NC","GCRH104R-331NC","104R 330UH +/-25%",0.68,"1",0.17,"",NULL,12000,8160,0,"201008","2010-08-10",NULL,"CG-10-04-13-039","04","ACTIVE",NULL,"8","谢冰冰","1","GC0049",0.17,NULL
7,"GV0005","今凯","0","KCCK","CKRH8D28-100M","GCRH8D28-100M","8D28 10UH +/-20%",0.605,"1",0.17,"",NULL,1000,605,0,"201008","2010-11-08",NULL,"CGDD0330","04","ACTIVE",NULL,"8","谢冰冰","1","GC0112",0.17,NULL
8,"GV0005","今凯","0","KCCK","CKRH127-330NC","GCRH127-330NC","127 33UH +/-25%",0.66,"1",0.17,"",NULL,1000,660,0,"201008","2010-08-10",NULL,"CZ20100715001","04","ACTIVE",NULL,"8","谢冰冰","1","GC0107",0.17,NULL
9,"GV0005","今凯","0","KCCK","CKRH5D28-100M","GCRH5D28-100M","5D28 10UH +/-20%",0.45,"1",0.17,"",NULL,34000,15300,0,"201008","2010-08-10",NULL,"FA-PO-20100521051","04","ACTIVE",NULL,"8","谢冰冰","1","GC0016",0.17,NULL
10,"GV0005","今凯","0","KCCK","CKRH2D18A/HP-2R2NC","GCRH2D18A/HP-2R2NC","2D18A/HP 2.2UH +/-25% 高度2MM DCR小于125M欧 可耐电流0.63A",0.473,"1",0.17,"",NULL,30000,14190,0,"201008","2010-08-10",NULL,"FA-PO-20100521051","04","ACTIVE",NULL,"8","谢冰冰","1","GC0016",0.17,NULL
